time,open,high,low,close,Up Marker,Down Marker,VWAP
2026-04-14T18:13:00-05:00,26007.25,26007.5,26004.5,26005.75,0,0,26001.10382973724
2026-04-14T18:14:00-05:00,26005.75,26007,26004.5,26004.75,0,0,26001.121155096196
2026-04-14T18:15:00-05:00,26005,26006.5,26002.75,26003.5,0,0,26001.153640305165
2026-04-14T18:16:00-05:00,26003.5,26007.25,26002.25,26005.5,0,0,26001.19215
2026-04-14T18:17:00-05:00,26007,26009,26005.5,26008.75,0,0,26001.239906940278
2026-04-14T18:18:00-05:00,26008.25,26010.25,26006.75,26007.5,0,0,26001.293354160385
2026-04-14T18:19:00-05:00,26007,26008.25,26005.25,26006.25,0,0,26001.315363519367
2026-04-14T18:20:00-05:00,26007.25,26008.75,26006,26008.5,0,0,26001.333162012976
2026-04-14T18:21:00-05:00,26008,26008.5,26006.5,26008.5,0,0,26001.35374903743
2026-04-14T18:22:00-05:00,26008.5,26013.25,26008,26011.5,0,0,26001.461205467334
2026-04-14T18:23:00-05:00,26012,26012.5,26009,26011,0,0,26001.531118587045
2026-04-14T18:24:00-05:00,26010.75,26012,26009.25,26009.5,0,0,26001.58435398873
2026-04-14T18:25:00-05:00,26009.25,26009.75,26007.75,26008.75,0,0,26001.628611933826
2026-04-14T18:26:00-05:00,26008.75,26015.5,26008,26012.25,0,0,26001.79962882716
2026-04-14T18:27:00-05:00,26012.25,26014,26010.5,26013,0,0,26001.89306
2026-04-14T18:28:00-05:00,26013,26014.75,26011.75,26013.25,0,0,26001.985472324075
2026-04-14T18:29:00-05:00,26014,26020.25,26009.5,26012.25,0,0,26002.36694393724
2026-04-14T18:30:00-05:00,26011.75,26012.25,26005.25,26009,0,0,26002.464074382457
2026-04-14T18:31:00-05:00,26008.75,26011,26006,26010,0,0,26002.516332419244
2026-04-14T18:32:00-05:00,26009.75,26010,26007.25,26007.75,0,0,26002.540066686408
2026-04-14T18:33:00-05:00,26008.5,26011.25,26007.75,26009.75,0,0,26002.56685
2026-04-14T18:34:00-05:00,26010,26030.75,26009.75,26029.25,0,0,26003.809481262386
2026-04-14T18:35:00-05:00,26029.25,26029.75,26019.25,26023.25,0,0,26004.70733095806
2026-04-14T18:36:00-05:00,26023,26027.75,26018.75,26023.75,0,0,26005.077770081105
2026-04-14T18:37:00-05:00,26023.75,26024.75,26017.5,26021,0,0,26005.416457132633
2026-04-14T18:38:00-05:00,26020,26026.5,26015.5,26025.25,0,0,26005.784382284382
2026-04-14T18:39:00-05:00,26024.75,26034.75,26023,26026,0,0,26006.514947613192
2026-04-14T18:40:00-05:00,26025.25,26026,26023,26023,0,0,26006.699906119426
2026-04-14T18:41:00-05:00,26023.25,26024,26016.5,26019,0,0,26006.912777185178
2026-04-14T18:42:00-05:00,26019,26022,26017.5,26021.25,0,0,26007.060671160507
2026-04-14T18:43:00-05:00,26021.75,26025.75,26020,26024.75,0,0,26007.287992963404
2026-04-14T18:44:00-05:00,26024.5,26025,26020.75,26023.25,0,0,26007.406684628877
2026-04-14T18:45:00-05:00,26023.5,26028.75,26020.5,26024.75,0,0,26007.672005553766
2026-04-14T18:46:00-05:00,26025.25,26029,26024.25,26028,0,0,26007.823854271726
2026-04-14T18:47:00-05:00,26027.75,26034.25,26026,26031,0,0,26008.218657852758
2026-04-14T18:48:00-05:00,26031.75,26037.75,26029,26034,0,0,26008.77626820159
2026-04-14T18:49:00-05:00,26033.75,26034.75,26031.75,26032.25,0,0,26009.01302186956
2026-04-14T18:50:00-05:00,26032.5,26036.25,26030.5,26034.5,0,0,26009.268591659136
2026-04-14T18:51:00-05:00,26035,26035,26021.75,26024.75,0,1,26009.67579
2026-04-14T18:52:00-05:00,26025,26025,26019.5,26020.75,0,1,26009.827739529544
2026-04-14T18:53:00-05:00,26021,26025.75,26021,26024,1,0,26009.92543333999
2026-04-14T18:54:00-05:00,26023.75,26025,26022.75,26023,0,0,26009.957187458484
2026-04-14T18:55:00-05:00,26023,26023,26016.5,26018.5,0,1,26010.085173375264
2026-04-14T18:56:00-05:00,26019.5,26020.5,26017.25,26020.5,0,0,26010.13806426627
2026-04-14T18:57:00-05:00,26019.75,26024.25,26019.25,26022.25,0,0,26010.240253170006
2026-04-14T18:58:00-05:00,26022.25,26024.75,26019.25,26019.5,0,0,26010.305953807525
2026-04-14T18:59:00-05:00,26019.5,26021.5,26016,26018.5,0,0,26010.401810015366
2026-04-14T19:00:00-05:00,26018.25,26018.5,26008,26011,0,0,26010.47108
2026-04-14T19:01:00-05:00,26011,26016,26010,26012.75,0,0,26010.49946086558
2026-04-14T19:02:00-05:00,26012,26013.25,26008.5,26011.5,0,0,26010.50393561244
