time,open,high,low,close
2026-04-16T21:06:00-05:00,26490,26490.5,26489.25,26489.5
2026-04-16T21:07:00-05:00,26489.75,26489.75,26482,26483.75
2026-04-16T21:08:00-05:00,26483.5,26483.5,26474.5,26475.5
2026-04-16T21:09:00-05:00,26475,26476.25,26469.75,26474.25
2026-04-16T21:10:00-05:00,26474.25,26478.75,26473.25,26476.75
2026-04-16T21:11:00-05:00,26476.75,26479.25,26474,26475.5
2026-04-16T21:12:00-05:00,26474.75,26479,26474.75,26478.5
2026-04-16T21:13:00-05:00,26478.75,26480,26476.5,26477.75
2026-04-16T21:14:00-05:00,26477.5,26479.75,26476,26478.75
2026-04-16T21:15:00-05:00,26479,26481.75,26479,26480.25
2026-04-16T21:16:00-05:00,26480,26480,26475.75,26476.75
2026-04-16T21:17:00-05:00,26477,26478,26475.75,26477
2026-04-16T21:18:00-05:00,26477.25,26478,26471.75,26473.25
2026-04-16T21:19:00-05:00,26473.5,26477.25,26473,26475.75
2026-04-16T21:20:00-05:00,26476.25,26478.75,26475.75,26477.75
2026-04-16T21:21:00-05:00,26477.5,26478.25,26475,26476
2026-04-16T21:22:00-05:00,26475.5,26477.25,26474.75,26475.5
2026-04-16T21:23:00-05:00,26475.25,26476.25,26474.25,26475.5
2026-04-16T21:24:00-05:00,26475.75,26476.75,26460.75,26461.75
2026-04-16T21:25:00-05:00,26461.5,26467.75,26454,26466.5
2026-04-16T21:26:00-05:00,26466.5,26467.25,26464,26466.75
2026-04-16T21:27:00-05:00,26467,26471.75,26466.75,26470.5
2026-04-16T21:28:00-05:00,26470.25,26470.25,26466.5,26468.75
2026-04-16T21:29:00-05:00,26468.75,26469.75,26466.5,26467.75
2026-04-16T21:30:00-05:00,26468,26469.25,26466.25,26467
2026-04-16T21:31:00-05:00,26466.25,26474,26466.25,26473
2026-04-16T21:32:00-05:00,26472.75,26475.25,26471.75,26474.25
2026-04-16T21:33:00-05:00,26474.5,26475.75,26472.25,26472.75
2026-04-16T21:34:00-05:00,26472.5,26473.25,26471,26472.5
2026-04-16T21:35:00-05:00,26472,26472.75,26468.75,26470.5
2026-04-16T21:36:00-05:00,26470.5,26472.25,26469.5,26471.25
2026-04-16T21:37:00-05:00,26471,26474.25,26470.75,26472.5
2026-04-16T21:38:00-05:00,26472.5,26475,26472.5,26472.75
2026-04-16T21:39:00-05:00,26472.25,26474,26471.75,26474
2026-04-16T21:40:00-05:00,26474,26476.5,26473.5,26475
2026-04-16T21:41:00-05:00,26474.5,26475.75,26471.5,26472.25
2026-04-16T21:42:00-05:00,26472,26472.25,26470,26470.75
2026-04-16T21:43:00-05:00,26471.25,26471.75,26469,26470
2026-04-16T21:44:00-05:00,26470.25,26470.25,26467.5,26468.5
2026-04-16T21:45:00-05:00,26469,26470.75,26467,26469.75
2026-04-16T21:46:00-05:00,26470,26472,26469,26469
2026-04-16T21:47:00-05:00,26469.5,26469.75,26467.5,26469
2026-04-16T21:48:00-05:00,26469.25,26469.5,26467.5,26468.5
2026-04-16T21:49:00-05:00,26468.25,26469.25,26467.5,26467.5
2026-04-16T21:50:00-05:00,26467.5,26467.75,26462.25,26464.5
2026-04-16T21:51:00-05:00,26465.25,26466.25,26463.5,26465.25
2026-04-16T21:52:00-05:00,26465,26465.25,26463.25,26464
2026-04-16T21:53:00-05:00,26464.5,26468,26464.25,26466.25
2026-04-16T21:54:00-05:00,26465.75,26467.25,26465.25,26466.75
2026-04-16T21:55:00-05:00,26466.5,26467.25,26465.5,26466
2026-04-16T21:56:00-05:00,26466.5,26466.75,26465.25,26465.25
2026-04-16T21:57:00-05:00,26465,26466.25,26463.75,26464.75
2026-04-16T21:58:00-05:00,26464.25,26465.25,26462.5,26464.75
2026-04-16T21:59:00-05:00,26465.25,26467.5,26464.75,26465
2026-04-16T22:00:00-05:00,26465.25,26469,26464.75,26467.25
2026-04-16T22:01:00-05:00,26466.75,26468,26466.25,26466.25
2026-04-16T22:02:00-05:00,26466.5,26466.5,26463.5,26463.75
2026-04-16T22:03:00-05:00,26464.25,26465.25,26461.5,26462.5
2026-04-16T22:04:00-05:00,26462.25,26463.75,26461,26461.25
2026-04-16T22:05:00-05:00,26461.25,26462.25,26460.25,26461
2026-04-16T22:06:00-05:00,26461.5,26462.75,26459.25,26460.75
2026-04-16T22:07:00-05:00,26460.25,26460.5,26457,26457.75
2026-04-16T22:08:00-05:00,26457.5,26460,26456.25,26459.5
2026-04-16T22:09:00-05:00,26459,26460.25,26457.75,26460.25
2026-04-16T22:10:00-05:00,26459.75,26464,26459.75,26462.5
2026-04-16T22:11:00-05:00,26462.25,26462.5,26460,26460.5
2026-04-16T22:12:00-05:00,26460.25,26460.25,26457.75,26459.25
2026-04-16T22:13:00-05:00,26459.25,26459.5,26457,26457.25
2026-04-16T22:14:00-05:00,26457.5,26457.75,26450.5,26455.5
2026-04-16T22:15:00-05:00,26455.5,26458.25,26451.25,26452
2026-04-16T22:16:00-05:00,26452.25,26456.75,26452.25,26455.75
2026-04-16T22:17:00-05:00,26455.75,26458,26455.75,26456.5
2026-04-16T22:18:00-05:00,26456.75,26459,26456,26458.5
2026-04-16T22:19:00-05:00,26458.5,26460.75,26458.5,26459.25
2026-04-16T22:20:00-05:00,26459.5,26460.5,26457.5,26457.5
2026-04-16T22:21:00-05:00,26457.5,26458.5,26457.25,26457.75
2026-04-16T22:22:00-05:00,26458,26460,26456.5,26459.5
2026-04-16T22:23:00-05:00,26459.5,26462.5,26459,26461
2026-04-16T22:24:00-05:00,26460.75,26461.75,26458.5,26460.25
2026-04-16T22:25:00-05:00,26460.25,26462.25,26459.25,26459.5
2026-04-16T22:26:00-05:00,26459.5,26460.75,26457.5,26458.5
2026-04-16T22:27:00-05:00,26458,26458.25,26453.75,26454.5
2026-04-16T22:28:00-05:00,26454.25,26456,26453.75,26454.75
2026-04-16T22:29:00-05:00,26454.75,26457.75,26454.5,26457.25
2026-04-16T22:30:00-05:00,26458,26459.75,26455.25,26456.5
2026-04-16T22:31:00-05:00,26457,26458.5,26455.5,26456.25
2026-04-16T22:32:00-05:00,26456,26458.75,26455.25,26457.75
2026-04-16T22:33:00-05:00,26457.75,26458.25,26455.25,26456
2026-04-16T22:34:00-05:00,26455.75,26456,26453,26453.75
2026-04-16T22:35:00-05:00,26454,26455.5,26451,26453.5
2026-04-16T22:36:00-05:00,26453.75,26454.25,26451,26451.25
2026-04-16T22:37:00-05:00,26451.25,26453,26448,26451.5
2026-04-16T22:38:00-05:00,26451,26456.75,26449.75,26455.5
2026-04-16T22:39:00-05:00,26455.25,26455.75,26453.75,26455.75
2026-04-16T22:40:00-05:00,26456,26456.75,26453.75,26456.25
2026-04-16T22:41:00-05:00,26455.75,26455.75,26453.25,26454.5
2026-04-16T22:42:00-05:00,26455,26457.25,26454.5,26456.25
2026-04-16T22:43:00-05:00,26456.5,26457.75,26455.5,26456.5
2026-04-16T22:44:00-05:00,26456.25,26457.5,26455,26455
2026-04-16T22:45:00-05:00,26454.75,26457.75,26454.5,26456.5
2026-04-16T22:46:00-05:00,26456.5,26459.25,26456.25,26456.75
2026-04-16T22:47:00-05:00,26456.25,26457.75,26455.5,26456.5
2026-04-16T22:48:00-05:00,26456,26458,26454.25,26457.5
2026-04-16T22:49:00-05:00,26457.25,26458.75,26457,26458.25
2026-04-16T22:50:00-05:00,26457.75,26459.25,26457,26459
2026-04-16T22:51:00-05:00,26458.5,26462,26458.5,26460
2026-04-16T22:52:00-05:00,26460,26462,26459.5,26459.5
2026-04-16T22:53:00-05:00,26459.5,26462.25,26459.5,26462.25
2026-04-16T22:54:00-05:00,26461.75,26462.25,26459.75,26460
2026-04-16T22:55:00-05:00,26459.5,26460,26458.75,26460
2026-04-16T22:56:00-05:00,26458.75,26460.5,26457.75,26460
2026-04-16T22:57:00-05:00,26460,26461.5,26460,26461
2026-04-16T22:58:00-05:00,26460.75,26461.25,26458.25,26459.25
2026-04-16T22:59:00-05:00,26459.25,26459.5,26458.5,26459.25
2026-04-16T23:00:00-05:00,26459.25,26460.75,26456.5,26457.25
